no_reg,nama_perusahaan,nama_merek_usaha,tipe_keanggotaan,jenis_perizinan,domain,alamat_kantor,kelurahan,kecamatan,kabkota,provinsi,kodepos,phone,fax
S2033,PT. WIJAYA KARYA MANDALA,WIJAYA KARYA MANDALA,Corporate,-,WIJAYAKARYAMANDALA.MY.ID,"Cyber 1 Building 6th Floor
Jl. Kuningan Barat No. 8
Mampang Prapatan, Jakarta Selatan 12710",MAMPANG PRAPATAN,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+622150983705,+62
S2034,PT. BERKAH KAWASAN MANYAR SEJAHTERA,JAVA INTEGRATED INDUATRIAL AND PORTS ESTATE (JIIPE),Corporate,-,JIIPE.CO.ID,"Jalan Raya Manyar KM 11, Kecamatan Manyar, Kab. Gresik 61151",MANYAREJO,MANYAR,KAB. GRESIK,JAWA TIMUR,61151,+623198540999,+62
S2035,PT. INDUSTRI KERETA API,MANUFACTURE,Corporate,-,INKA.CO.ID,"Jl. Yos Sudarso No.71, Madiun Lor, Kec. Manguharjo, Kota Madiun, Jawa Timur 63122",MADIUN LOR,MANGU HARJO,MADIUN,JAWA TIMUR,63122,+62351452271,+62351452275
S2036,PT. ANEKA TAMBANG PRATAMA,ANEKA TAMBANG PRATAMA,Corporate,-,ANEKATAMBANGPRATAMA.CO.ID,"Jl Pluit Permai VIII No 3A
Penjaringan, Jakarta Utara, 14450",PLUIT,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14450,+622150983712,+62
S2037,PT. SATU SISTEM INTEGRASI,SINTEGRASI,Corporate,-,SINTEGRASI.COM,"Bellezza BSA 1st Floor SA1-06, Jl. Letjen Soepeno, Permata
Hijau, Kel. Grogol Utara, Kec. Kebayoran Lama, Kota Adm. Jakarta Selatan, Prov. DKI Jakarta",GROGOL UTARA,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12210,+6281370717204,+620000000
S2038,PT. EQUATOR KARTIKA,EQUATOR,Corporate,-,EQUATOR.LAND,"Ruko Mega Galaxy Nomor 14 B-09,
Jalan Kertajaya Indah Timur",KLAMPIS NGASEM,SUKOLILO,SURABAYA,JAWA TIMUR,60117,+62,+62
S2039,PT. INDUSTRI KREATIF DIGITAL,DIHOSTINGIN,Corporate,-,IKADA.CO.ID,LINGKUNGAN 01 CIRIUNG NO. 106-107 RT. 04 RW. 03,CIRIUNG,CIBINONG,KAB. BOGOR,JAWA BARAT,16918,+6287871910474,+62
S2041,PEMERINTAH KABUPATEN OGAN ILIR,OGANILIR-ID,Goverment,-,OGANILIRKAB.GO.ID,Komplek Perkantoran Tanjung Senai Kabupaten Ogan Ilir,INDRALAYA RAYA,INDRALAYA,KAB. OGAN ILIR,SUMATERA SELATAN,30114,+627117583058,+62
S2043,PT. DIAN SWASTATIKA MAKMUR,DIAN SWASTATIKA MAKMUR,Corporate,-,DIANSWASTIKAMAKMUR.CO.ID,"Jl Alexandrite Utara No. 07
Kelapa Dua - Tangerang. Banten – 15810",KELAPA DUA,KELAPA DUA,KAB. TANGERANG,BANTEN,15810,+622150983709,+62
S2045,PEMERINTAH DAERAH KABUPATEN KARO,PEMERINTAH DAERAH KABUPATEN KARO,Goverment,-,KAROKAB.GO.ID,"DINAS KOMINFO, GEDUNG KANTOR BUPATI KARO
JL. DJAMIN GINTING 17 LT.3 KABANJAHE
 KABANJAHE,  SUMATERA UTARA, 22113",KABAN,KABANJAHE,KAB. KARO,SUMATERA UTARA,22113,+6281260123011,+62
S2047,PT. ADI SAPTA BILLITON,ADI SAPTA BILLITON,Corporate,-,ADISAPTA.COM,"Gedung Raudha Lantai-2.
Jl. Terusan Kuningan Rasuna Said No.21 Kel/Kec. Kuningan Barat / Mampang Prapatan. Jakarta Selatan, Indonesia",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790,+622129966995,+62
S2048,PT. TIGA PILAR MEGANTARA,TIGA PILAR MEGANTARA,Corporate,-,TIGAPILARMEGANTARA.CO.ID,"Gedung Raudha Lt II
Jl. Kuningan Barat II No.21, RT.9/RW.2
Mampang Prapatan - Jakarta Selatan, 12710",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+622150983702,+62
S2051,PT. AKSARA DATA DIGITAL,IRSFA,Corporate,-,AKSARADATA.ID,"GEDUNG CYBER 1 LANTAI 3, JLN. KUNINGAN BARAT NO.8",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+622139737702,+62
S2052,PT. ALAM MEDIA REJEKI,ALAM MEDIA REJEKI,Corporate,-,MEDIAREJEKI.CO.ID,JL. CINDE BARU TENGAH NO 11 MOJOKERTO RT 003 RW 001,PRAJURIT KULON,PRAJURIT KULON,MOJOKERTO,JAWA TIMUR,61361,+6281235556332,+62
S2055,PT. JARINGAN BUANA NUSANTARA,JARINGAN BUANA NUSANTARA,Corporate,-,DBN.NET.ID,"Ds.Tawangrejo RT.03 RT.01 Kec.Wonodadi
Blitar, Jawa Timur,  66155",TAWANGREJO,WONODADI,KAB. BLITAR,JAWA TIMUR,66155,+6285655656737,+62
S2057,CV. RINTIS PILAR MUDA,RPM NETWORK,Corporate,-,RPM-NETWORK.NET,"Dusun jebug, rt02/10",PUNGGELAN,PUNGGELAN,KAB. BANJARNEGARA,JAWA TENGAH,53462,+6285229967631,+62
S2058,PT. PAMAPERSADA NUSANTARA,PT PAMAPERSADA NUSANTARA,Corporate,-,PAMAPERSADA.COM,"Jl. Rawagelam I No.9, Kawasan Industri Pulogadung

Jakarta 13930, Indonesia",JATINEGARA,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13930,+62214602015,+62214614010
S2059,PT. MADIUN MULTIMEDIA,M2NET,Corporate,-,MADIUNMULTIMEDIA.CO.ID,JL. KARYA BAKTI NO 10,MOJOREJO,TAMAN,MADIUN,JAWA TIMUR,63139,+628113396171,+62
S2060,PT. INDOMOBIL SUKSES PRATAMA,INDOMOBIL SUKSES PRATAMA,Corporate,-,INDOMOBILSUKSESPRATAMA.CO.ID,"Jl Pluit Permai VIII No 3A
Penjaringan, Jakarta Utara
DKI Jakarta, 14450",PLUIT,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14450,+622150983710,+62
S2061,PT. PUSPA JAYA ABADI,INTERNET SERVICE PROVIDER,Corporate,-,PUSPAJAYAABADI.COM,Dusun Gembong hilir rt 005/ rw006,MALABAR,WANAREJA,KAB. CILACAP,JAWA TENGAH,53265,+6282241709185,+62
S2062,PT. AZZA MEDIA DATA,AZZA MEDIA DATA,Corporate,-,AZZMED.ID,"Kompleks Perumahan Erlangga Blok D. No.08
Kel. Kadolokatapi, Baubau
Sulawesi Tenggara, 93715",KADOLO KATAPI,WOLIO,BAU-BAU,SULAWESI TENGGARA,93715,+6282290719045,-
S2064,PT. CITRA VICTORIA RAYA,CVR-MEDIA,Corporate,-,CVR-MEDIA.NET,"Jl. Boulevard II Sindulang Satu Lingk. III, Kel. Sindulang Satu, Kec. Tuminting,
Kota Manado",SINDULANG SATU,TUMINTING,MANADO,SULAWESI UTARA,95239,+628124309387,+62
S2066,POLITEKNIK PENERBANGAN MEDAN,POLTEKBANG MEDAN,Education,-,POLTEKBANGMEDAN.AC.ID,Jl. Penerbangan No.85 Sempakata Medan - Sumatera Utara,SEMPAKATA,MEDAN SELAYANG,MEDAN,SUMATERA UTARA,20131,+62618360675,+62
S2070,DINAS KOMINFO KABUPATEN MUSI BANYUASIN,DINAS KOMINFO KABUPATEN MUSI BANYUASIN,Goverment,-,MUBAKAB.GO.ID,"Jl. Kol. Wahid Udin, Serasan Jaya, Sekayu, Kabupaten Musi Banyuasin, Sumatera Selatan 30711",SERASAN JAYA,SEKAYU,KAB. MUSI BANYUASIN,SUMATERA SELATAN,30711,+62714321021,+62
S2072,CV. SAMPURNO,SAMPURNO CV,Corporate,-,CVSAMPURNO.BIZ.ID,RANDUSARI RT 08 RW 08 BOKOHARJO SLEMAN 55572,BOKO HARJO,PRAMBANAN,KAB. SLEMAN,DI YOGYAKARTA,55572,+6281392776963,+62
S2073,PT. ARORA DHARMA DEWATA,ARORA,Corporate,-,ARORADEWATA.COM,"Jl. GN. ANDAKASA TEGAL DUKUH V No.  21 RT.000 RW.000 PADANG SAMBIAN KAJA, DENPASAR BARAT",PADANGSAMBIAN KAJA,DENPASAR BARAT,DENPASAR,BALI,80117,+6282247272258,+62
S2074,PT. SATU FREKUENSI ABADI,SANDI,Corporate,-,SFA.CO.ID,"Plaza Bisnis Kemang Gedung 2 Lantai 1, JL Kemang Raya No 2",BANGKA,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12730,+6281808050294,+62
S2075,POLITEKNIK PENERBANGAN PALEMBANG,POLTEKBANG PALEMBANG,Education,-,POLTEKBANGPLG.AC.ID,Jl. Adi Sucipto Sukarami,SUKODADI,SUKARAMI,PALEMBANG,SUMATERA SELATAN,30154,+62711410930,+62711420385
S2077,"DINAS KOMUNIKASI, INFORMATIKA, DAN STATISTIK KOTA PASURUAN",GOVERNMENT,Goverment,-,PASURUANKOTA.GO.ID,"Jl. Pahlawan No. 28 B, Pekuncen, Panggungrejo, Kota Pasuruan, Jawa Timur 67126",PANGGUNGREJO,PANGGUNGREJO,PASURUAN,JAWA TIMUR,67126,+62343424019,+62
S2080,INSTITUT TEKNOLOGI DEL,IT DEL,Education,-,DEL.AC.ID,"Komp. IT Del, Jl. SM Raja Sitoluama Kec. Laguboti, Kab. Toba Sumatera Utara - 22381",SITOLUAMA,LAGUBOTI,KAB. TOBA,SUMATERA UTARA,22381,+62632331234,+62
S2081,CV. MULTINET AIRCOM,MULTINETAIRCOM.ONLINE,Corporate,-,MULTINETAIRCOM.ONLINE,"Jl. Gajah Mada RT 13 Kel. Teratai, Kec. Muara Bulian, Kab. Batanghari, Jambi",TERATAI,MUARA BULIAN,KAB. BATANG HARI,JAMBI,36613,+6285266922789,+62
S2082,PT. JARINGAN PRIMA INDONESIA,PRIMENET,Corporate,-,PRIMENET.ID,"Alamat Perusahaan :
Jl. Pisangan Lama III No.2A Pisangan Timur Pulogadung Jakarta Timur 13230",PISANGAN TIMUR,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13230,+622150112252,+622150112252
S2085,PT. SALIM RAGAM PRATAMA,SALIM RAGAM PRATAMA,Corporate,-,SALIMRAGAMPRATAMA.CO.ID,"Jl Mampang Prapatan XI No.20 RT. 004 RW.07
Tegal Parang, Mampang Prapatan - Jakarta Selatan 12790",TEGAL PARANG,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790,+622150983706,+62
S2088,PT. BYAKTA DIGITAL EKOSISTEM,BYAKTA DIGITAL EKOSISTEM,Corporate,-,BYAKTA.COM,"Jl. Jemur Andayani C17-19 Komp. Surya Inti Permata RT 09 RW 05 Siwalankerto, Wonocolo, Kota Surabaya",SIWALANKERTO,WONOCOLO,SURABAYA,JAWA TIMUR,60236,+6285855500010,+62
S2090,CV. ANDHIKA PRATAMA SANGGORO,ANDHIKA PRATAMA SANGGORO,Corporate,-,SENGKED.COM,"Kp. Sengked No. 01 RT. 003 RW.003 
Desa Babakan, Kecamatan Dramaga 
Kabupaten Bogor, Jawa Barat, 16680",BABAKAN,DRAMAGA,KAB. BOGOR,JAWA BARAT,16680,+622518339929,+622518621371
S2091,PT. TELEANJAR INDONESIA,TELEANJAR INDONESIA,Corporate,-,TELEANJAR.CO.ID,"The “H” Tower, Lantai 16, Jl. H.R. Rasuna Said, Kav 20, Kuningan, Jakarta Selatan, Jakarta 12940",KARET,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12940,+622122978710,+622122978712
S2092,PT. ATLAS LINTAS INDONESIA,ATLINDO,Corporate,-,ATLINDO.CO.ID,"Dusun Sukamulya RT 004 RW 002
Desa Pinayungan Kecamatan Telukjambe Timur 
Kabupaten Karawang",PINAYUNGAN,TELUKJAMBE TIMUR,KAB. KARAWANG,JAWA BARAT,41361,+6285722798111,+62
S2093,PT. MALFI KARYA BERKAH,MALFI KARYA BERKAH,Corporate,-,MALFIKARYABERKAH.ID,"Jl Muhammadiyah LR 139 B No.24 RT 003 RW 007
Melayu, Wajo.
Makassar, Sulawesi Selatan, 90232",MELAYU,WAJO,MAKASSAR,SULAWESI SELATAN,90232,+6281381242124,+62
S2098,PT. AGRO METRODATA TELEMATIKA,AGRO METRODATA TELEMATIKA,Corporate,-,AMT.NET.ID,"Jln. Danau Belida Lingkungan III, Kel. Sumber Karya, Kec. Binjai
Timur, Kota Binjai, Prov. Sumatera Utara",SUMBER KARYA,BINJAI TIMUR,BINJAI,SUMATERA UTARA,20737,+6282164742010,+62
S2099,CV. CAHAYA SOLUSINDO,CAHAYA SOLUSINDO,Corporate,-,CAHAYASOLUSINDO.ORG,"Jl. S Parman No.58 RT.001/002
Banyuwangi, Jawa Timur 68411",PAKIS,BANYUWANGI,KAB. BANYUWANGI,JAWA TIMUR,68411,+628113699960,+62
S2101,CV. TRANS DATA SOLUTION,TRANS DATA SOLUTION,Corporate,-,TRANSDATA-ID.NET,"Jl Muhammadiyah LR 139 B No.24 RT 003/007 
Melayu, Wajo
Makassar, Sulawesi Selatan, 90232",MELAYU,WAJO,MAKASSAR,SULAWESI SELATAN,90232,+6281381242124,+62
S2102,PT. INFRA TELEMATIKA AKSES,INFRATEL,Corporate,-,INFRATELAKSES.COM,"Jl. KH Afandi RT.004 RW 004 Insit, Tebing Tinggi Barat",INSIT,TEBING TINGGI BARAT,KAB. KEPULAUAN MERANTI,RIAU,28753,+6282382864212,+62
S2104,PT. PANORAMA INDAH MULIAH,PANORAMA INDAH MULIAH,Corporate,-,PANORAMAINDAHMULIA.CO.ID,"Jl. Janur Elok III 007 1
Kelapa Gading, Jakarta Utara – 14240",KELAPA GADING TIMUR,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,14240,+622150983704,+62
S2105,POLITEKNIK NEGERI BALI,POLITEKNIK NEGERI BALI,Education,-,PNB.AC.ID,"Kampus Politeknik Negeri Bali, Bukit Jimbaran, Kuta Selatan, Badung - Bali",JIMBARAN,KUTA SELATAN,KAB. BADUNG,BALI,80361,+62361701981,+62361701128
S2107,PT. ASKARA INTI TEKNOLOGI,AITI NET,Corporate,-,AINTEK.NET,Dk. Tretep RT. 01 RW. 12,SIMA,MOGA,KAB. PEMALANG,JAWA TENGAH,52354,+6281289868629,+62
S2108,PT. PURA DELTA MAS,PURA DELTA MAS,Corporate,-,PURADELTAMAS.CO.ID,"Komplek Ruko Golden Ville No 88 CR
Kebun Jeruk, Jakarta Barat, 11510",KEBON JERUK,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11510,+622150840220,+62
S2109,PT. GARUDA METAL JAYA,GARUDA METAL JAYA,Corporate,-,GARUDAMETALJAYARAYA.CO.ID,"Jl. Jatipadang Utara No 9 RT.013/RW.02
Kec. Ps. Minggu, Kota Jakarta Selatan
DKI Jakarta 12520",JATI PADANG,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12520,+622150983745,+62
S2110,PT. PALAPA PACIFIC,PALAPA PASIFIK,Corporate,-,PALAPAPACIFIC.CO.ID,JL.PARANG TRITIS RAYA BLOK EN NO.1 RT 006 RW 002,ANCOL,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,14430,+6287776252071,+62
S2116,PT. ADHI KARYA NUSA,ADHI KARYA NUSA,Corporate,-,ADHIKARYANUSA.CO.ID,"Jl Widya Chandra VIII No 23 RT 001 RW 002
Kel. Senayan, Kebayoran Baru, Jakarta Selatan, 12190",SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12190,+622150983730,+62
S2117,CV. MARS DATA,MDNET,Corporate,-,MDNET.CO.ID,"JALAN RAYA ARJUNA NOMOR 84, Kel. Tulungrejo, Kec.
Bumiaji, Kota Batu, Prov. Jawa Timur",TULUNGREJO,BUMIAJI,BATU,JAWA TIMUR,65314,+6281235537577,+62
S2121,PT. DINOKI WAYAHE YOSHE,DINOKI,Corporate,-,DINOKI.ID,"Jl. Mampang Prapatan Raya No. 73A Lt. 3, Kel. Tegal Parang, Kec. Mampang Prapatan, Kota Adm. Jakarta Selatan, Prov. DKI Jakarta",TEGAL PARANG,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790,+6281380944997,+62
S2122,PT. CATURDAYA MITRA MANDIRI,WIDE,Corporate,-,CDMM.CO.ID,"Cipayung Resident Blok C - 1, RT.4/RW.8, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730",KELAPA DUA WETAN,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13730,+628161871817,+622187715834
S2129,PT. TELCO MANDIRI UTAMA,INTERNET,Corporate,-,PT-TMU.COM,Jl. Pamong Praja I Perum. Kopri Blok II G No. 22 RT. 06,SEPINGGAN BARU,BALIKPAPAN SELATAN,BALIKPAPAN,KALIMANTAN TIMUR,76115,+628115999777,+62
S2130,CV. PRIMA MULTI MEDIA,COMBET (COMMUNICATION BETTER),Corporate,-,COMBET.ID,JL.PANG SEMANGAI NO.28,AKCAYA,PONTIANAK SELATAN,PONTIANAK,KALIMANTAN BARAT,78121,+6285102920885,+62
S2131,PT. OPTIMAL TEKNOLOGI INDONESIA,FINTERNET,Corporate,-,FINTERNET.CO.ID,"Jalan Duren Tiga Raya No. 7E RT 002 / RW 006, Kel. Duren Tiga,
Kec. Pancoran, Kota Adm. Jakarta Selatan, Prop. DKI Jakarta",DUREN TIGA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12760,+6281218516686,+62
S2132,CV. OZONE DIMENSI TEKNIK,OZONE DIMENSI TEKNIK,Corporate,-,OZONE.MY.ID,"Jl. Hksn Komp. Amd Permai Blok 8 D No 213 RT 021, Kel. Alalak utara, Kec. Banjarmasin Utara, Kota Banjarmasin",ALALAK UTARA,BANJARMASIN UTARA,BANJARMASIN,KALIMANTAN SELATAN,700126,+625113359798,+62
S2133,PT. LAB BERU,LAB BERU,Corporate,-,LABBERU.COM,Bengkong mas block C no 4,BENGKONG LAUT,BENGKONG,BATAM,KEPULAUAN RIAU,29432,+62778451444,+62
S2135,PT. ADIRA DINAMIKA PERKASA,ADIRA DINAMIKA PERKASA,Corporate,-,ADIRADINAMIKAPERKASA.CO.ID,"Jl Widya Chandra VIII No 23 RT 001 RW 002, 
Kel. Senayan, Kebayoran Baru, Jakarta Selatan
DKI Jakarta, 12190",SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12190,+622150983731,+62
S2136,PT. PRIMA MANDIRI KOMUNIKASI,PRIMAKOM,Corporate,-,PRIMAKOM.CO.ID,Jl. Jombang Raya Ruko Emerald Boulevard Office Park Blok AA 2 No.52 Pondok Aren Kota Tangerang Selatan,PERIGI,PONDOK AREN,TANGERANG SELATAN,BANTEN,15227,+622174869170,+622174870155
S2140,PT. ANUGERAH KAGUM INDONESIA,ANUGERAH KAGUM INDONESIA,Corporate,-,ANUGERAHKAGUMINDONESIA.CO.ID,"Komplek Ruko Golden Ville No 88 CR
Kebun Jeruk, Jakarta Barat. 11510",KEBON JERUK,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11510,+622150840244,+62
S2157,PT. ELNUSA DATA INTI ASIA,ELNUSA DATA INTI ASIA,Corporate,-,ELNUSADATAINTIASIA.CO.ID,"Jl Widya Chandra VIII No 23 RT 001 RW 002
Kel. Senayan, Kebayoran Baru, Jakarta Selatan
DKI Jakarta, 12190",SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12190,+622150983717,+62
S2158,PT. MITRA ABADI BHAYANGKARA,MITRA ABADI BHAYANGKARA,Corporate,-,MITRAABADIBHAYANGKARA.COM,"Jalan Daan Mogot No.47. Tanjung Duren Utara, Grogol Petamburan, Jakarta Barat",TANJUNG DUREN UTARA,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11470,+622150983799,+62
S2159,DINAS KOMINFO KABUPATEN BANGKALAN,DISKOMINFO KAB BANGKALAN,Goverment,-,BANGKALANKAB.GO.ID,Jl. Soekarno Hatta Nomor 35 Bangkalan 69116,MLAJAH,BANGKALAN,KAB. BANGKALAN,JAWA TIMUR,69116,+62313094179,+62
S2160,PT. MURIA DATA UTAMA,PT. MURIA DATA UTAMA,Corporate,-,MURIADATA.CO.ID,"Jl dawe cranggang km 03,Desa Margorejo RT 02 RW 06 Kecamatan Dawe  Kabupaten Kudus Jawa Tengah",MARGOREJO,DAWE,KAB. KUDUS,JAWA TENGAH,59353,+6285640769176,+62
S2169,DINAS KOMUNIKASI DAN INFORMATIKA KABUPATEN TANAH LAUT,DINAS KOMUNIKASI DAN INFORMATIKA KABUPATEN TANAH LAUT,Goverment,-,@TANAHLAUTKAB.GO.ID,Jl. A. Syairani Komplek Perkantoran Gagas,ANGSAU,PELAIHARI,KAB. TANAH LAUT,KALIMANTAN SELATAN,70814,+625122269,+62
S2170,PT. ASIA SEJAHTERA PUTRA,ASIA SEJAHTERA PUTRA,Corporate,-,ASIASEJAHTERAPUTRA.CO.ID,"Jl. Warung Buncit Raya No. 25
Pejaten Barat, Pasar Minggu
Jakarta Selatan, DKI Jakarta 12740",PEJATEN BARAT,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12740,+622150983718,+62
S2171,PT. BRI DANAREKSA SEKURITAS,PT. BRI DANAREKSA SEKURITAS,Corporate,-,BRIDANAREKSASEKURITAS.CO.ID,"Gedung BRI II, Lantai 23
Jl. Jenderal Sudirman kav 44-46, RT.14 RW.1
Jakarta Pusat 10210",BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10210,+622150914100,+62
S2172,CV. BEKANTAN JANTAN,BEKANTAN JANTAN,Corporate,-,BEKANTANJANTAN.COM,"Jl. Museum Perjuangan, Komplek Wasaka, RT/RW 23/01, No.7",SUNGAI JINGAH,BANJARMASIN UTARA,BANJARMASIN,KALIMANTAN SELATAN,70122,+6287814493571,+62
S2183,PT. ATMA ADHISARANA TEKNOLOGI,ASTEK,Corporate,-,ASTEKNOLOGI.CO.ID,Jl Permata Elok VII no 5 RT007/RW 012 Cisaranten Kulon Arcamanik Bandung,CISARANTEN KULON,ARCAMANIK,BANDUNG,JAWA BARAT,40293,+6282123711787,+62
S2184,PT. MEDIASQUARE PRIMA,MEDIASQUARE,Corporate,-,MEDIASQUARE.ID,Jalan Balikpapan Raya No.32B,PETOJO UTARA,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10130,+622163864173,+62
S2185,PT. SOLUSI TUNAS DAYA,SOLUSI TUNAS DAYA,Corporate,-,SOLUSITUNASDAYA.CO.ID,"Jl. Jatipadang Utara No 9 RT.013/RW.02
Kec. Ps. Minggu, Kota Jakarta Selatan
DKI Jakarta, 12520",JATI PADANG,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12520,+622150983744,+62
S2187,PT. UNIVERSAL INTERNET INDONESIA,UII,Corporate,-,UNIVERSAL-INTERNET.CO.ID,"Gedung Cyber 1 lantai 10
Jln. Kuningan Barat no.8 rt 1 / rw 3
kelurahan kuningan barat
kecamatan mampang prapatan
Kota Administrasi Jakarta Selatan",MAMPANG PRAPATAN,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+62215262767,+62816530096
S2193,PT. KARYA SAHABAT GLOBAL,KARYA SAHABAT GLOBAL,Corporate,-,KARYASAHABATGLOBAL,"Jl. Kejayaan I no. 7A Rt012/Rw001
Kel.Krukut, Kec.Taman Sari
Jakarta Barat",KRUKUT,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,11140,+622163857265,+62
S2195,PT. SARIGUNA PRIMA PUTRA,SARIGUNA PRIMA PUTRA,Corporate,-,SARIGUNAPRIMAPUTRA.CO.ID,"Jl. Warung Buncit Raya No. 25, Pejaten Barat
Pasar Minggu, Jakarta Selatan. DKI Jakarta 12740",PEJATEN BARAT,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12740,+622150983721,+62
S2197,PT. ENGGAR MEDIA SENTANA,EMS NET,Corporate,-,PTEMS.ID,JALAN CEMPAKA NO. 7 DUSUN DUKUH DEMPOK RT/RW 001/024,DUKUH DEMPOK,WULUHAN,KAB. JEMBER,JAWA TIMUR,68162,+6281234870316,+62
S2198,PT. SARANA MEDIA INTEGRASI DATA,SAMID.NET,Corporate,-,SAMID.CO.ID,"Jl. Sunan kalijogo RT.002 RW.003, Kel.Tri Tunggal Jaya, Kec. Banjar Agung, Kab. Tulang bawang, Prov. Lampung",TRI TUNGGAL JAYA,BANJAR AGUNG,KAB. TULANG BAWANG,LAMPUNG,34684,+6282181941991,+62
S2200,PT. BERLIAN MEDIA TEKNOLOGI,BERLIAN.NET,Corporate,-,BERLIANTEKNOLOGI.NET,"Jl. Mulawarman RT. 11 Loa Duri Ilir No. 129
Kutai Kartanegara, Kalimantan Timur",LOA DURI ILIR,LOA JANAN,KAB. KUTAI KARTANEGARA,KALIMANTAN TIMUR,75391,+6285246308535,+62
S2203,PT. DELIMA ABADI,DELIMA ABADI,Corporate,-,DELIMA-ABADI.COM,"Jl. Kejayaan I no. 7A RT.012/RW 001
Kel. Krukut, Kec. Taman Sari
Jakarta Barat",KRUKUT,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,11140,+622122635832,+62
S2205,PT. LANGGENG JAYA NUSARAYA,LANGGENGNET,Corporate,-,LJN.NET.ID,"Jl. Petuakan RT 006/ RW 000 Kel. Air Upas, Kec. Air Upas
Kab. Ketapang, Prov. Kalimantan Barat",AIR UPAS,AIR UPAS,KAB. KETAPANG,KALIMANTAN BARAT,78863,+6285787009055,+62
S2206,PT. BANYAN TIRTA MITRA SEJATI,BANYAN TIRTA MITRA SEJATI,Corporate,-,BANYANTIRTAMITRASEJATI.CO.ID,"Komplek Ruko Golden Ville No 88 CR
Kebun Jeruk, Jakarta Barat. 11510",DURI KEPA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11510,+622150840230,+62
S2207,POLITEKNIK HARAPAN BERSAMA,POLITEKNIK HARAPAN BERSAMA,Education,-,POLTEKTEGAL.AC.ID,"Jl. Mataram No.9, Kel. pesurungan lor, Kel. Pesurungan Lor, Pesurungan Lor, Kec. Margadana, Kota Tegal, Jawa Tengah 52147",PESURUNGAN LOR,MARGADANA,TEGAL,JAWA TENGAH,52147,+62283352000,+62
S2215,PT. MEETAZA PRAWIRA MEDIA,CLASSMILES,Corporate,-,MEETAZA.COM,"Jl. Godean Km.15, Klepu, Kel. Sendangmulyo, Kec. Minggir, Kab.
Sleman, Prov. Daerah Istimewa Yogyakarta",SENDANG MULYO,MINGGIR,KAB. SLEMAN,DI YOGYAKARTA,55562,+62274370937,+62274370937
S2219,CV. KAROMAH MEDIA NUSANTARA,KAROMAH,Corporate,-,KAROMAH.NET,Ds.Pojok Banggle RT.04 /RW.02 Kec. Ngantru Tulungagung,POJOK,NGANTRU,KAB. TULUNGAGUNG,JAWA TIMUR,66252,+6282331140876,+62
S2221,PT. ALKINDO NARATAMA PERMATA,ALKINDO NARATAMA PERMATA,Corporate,-,ALKINDOTAMA.CO.ID,"Gedung Raudha Lt II, Jl. Kuningan Barat II No.21, RT.9/RW.2
Kuningan Barat, Mampang Prapatan
Jakarta Selatan, DKI Jakarta, 12710",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+622150983794,+62
